company,RIC,ISIN,GICS_sector,TRBC_sector,country,base_ric,industry
Asseco Poland SA,ACPP.WA,PLSOFTB00016,Information Technology/Software & Services/Software/Systems Software,IT Services & Consulting (NEC),Poland,ACPP.WA,Information Technology
Brady Corp,BRC.N,US1046741062,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Commercial Printing,Business Support Supplies (NEC),United States,BRC.N,Industrials
Huron Consulting Group Inc,HURN.OQ,US4474621020,Industrials/Commercial & Professional Services/Professional Services/Research & Consulting Services,Business Support Services (NEC),United States,HURN.OQ,Industrials
Stride Rite Corp Ord Shs,SRR.N^H07,US8633141002,"Consumer Discretionary/Consumer Durables & Apparel/Textiles, Apparel & Luxury Goods/Footwear",Footwear (NEC),United States,SRR.N^H07,Consumer Discretionary
U Blox Holding AG,UBXN.S,CH0033361673,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,Semiconductors (NEC),Switzerland,UBXN.S,Information Technology
Oriental Aromatics Ltd,OIEN.NS,INE959C01023,Materials/Materials/Chemicals/Specialty Chemicals,Specialty Chemicals (NEC),India,OIEN.NS,Materials
Medigene AG,MDG1k.F,DE000A40ESG2,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,Germany,MDG1k.F,Health Care
Nanalysis Scientific Corp,NSCI.V,CA63000Y1034,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Advanced Medical Equipment & Technology (NEC),Canada,NSCI.V,Health Care
Waste Management Inc,WM.N,US94106L1098,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Environmental & Facilities Services,Environmental Services & Equipment (NEC),United States,WM.N,Industrials
SNDL Inc,SNDL.OQ,CA83307B1013,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),Canada,SNDL.OQ,Health Care
Momentive Global Ord Shs,MNTV.OQ^F23,US60878Y1082,Information Technology/Software & Services/Software/Application Software,Software (NEC),United States,MNTV.OQ^F23,Information Technology
MISONIX Ord Shs,MSON.OQ^K21,US6048711039,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Equipment,United States,MSON.OQ^K21,Health Care
AltaGas Ltd,ALA.TO,CA0213611001,Utilities/Utilities/Gas Utilities/Gas Utilities,Natural Gas Utilities (NEC),Canada,ALA.TO,Utilities
Equatorial Para Distribuidora de Energia SA,EQPA5.SA,BREQPAACNPA4,Utilities/Utilities/Electric Utilities/Electric Utilities,Electric Utilities (NEC),Brazil,EQPA5.SA,Utilities
Iren SpA,IREE.MI,IT0003027817,Utilities/Utilities/Multi-Utilities/Multi-Utilities,Multiline Utilities,Italy,IREE.MI,Utilities
Criteo SA,CRTO.OQ,US2267181046,Communication Services/Media & Entertainment/Media/Advertising,Advertising & Marketing (NEC),France,CRTO.OQ,Communication Services
Lexicon Pharmaceuticals Inc,LXRX.OQ,US5288723027,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,LXRX.OQ,Health Care
CymaBay Therapeutics Ord Shs,CBAY.OQ^C24,US23257D1037,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Biotechnology & Medical Research (NEC),United States,CBAY.OQ^C24,Health Care
Manorama Industries Ltd,MNOR.NS,INE00VM01036,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats","Starch, Vegetable Fat & Oil Manufacturing",India,MNOR.NS,Consumer Staples
Intrum AB,INTRUM.ST,SE0000936478,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Diversified Support Services,Corporate Financial Services (NEC),Sweden,INTRUM.ST,Industrials
Tharisa PLC,THAJ.J,CY0103562118,Materials/Materials/Metals & Mining/Precious Metals & Minerals,Platinum Mining,Cyprus,THAJ.J,Materials
Selective Insurance Group Inc,SIGI.OQ,US8163001071,Financials/Insurance/Insurance/Property & Casualty Insurance,Property & Casualty Insurance (NEC),United States,SIGI.OQ,Financials
Luxfer Holdings PLC,LXFR.N,GB00BNK03D49,Industrials/Capital Goods/Machinery/Industrial Machinery & Supplies & Components,Industrial Machinery & Equipment (NEC),United States,LXFR.N,Industrials
Arteris Inc,AIP.OQ,US04302A1043,Information Technology/Software & Services/Software/Systems Software,Software (NEC),United States,AIP.OQ,Information Technology
Apollo Endosurgery Ord Shs,APEN.OQ^D23,US03767D1081,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Equipment,United States,APEN.OQ^D23,Health Care
PARTS ID Ord Shs,IDICQ.PK^B24,US7021411027,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Automotive Retail,Automotive Parts & Accessories Retailers,United States,IDICQ.PK^B24,Consumer Discretionary
Totvs SA,TOTS3.SA,BRTOTSACNOR8,Information Technology/Software & Services/Software/Systems Software,Enterprise Software,Brazil,TOTS3.SA,Information Technology
Borgestad ASA,BOR.OL,NO0013256180,Materials/Materials/Construction Materials/Construction Materials,"Real Estate Rental, Development & Operations (NEC)",Norway,BOR.OL,Materials
Wienerberger AG,WBSV.VI,AT0000831706,Materials/Materials/Construction Materials/Construction Materials,Construction Materials (NEC),Austria,WBSV.VI,Materials
Grupo Argos SA,ARG.CN,COT09PA00035,Materials/Materials/Construction Materials/Construction Materials,Hydroelectric & Tidal Utilities,Colombia,ARG.CN,Materials
Pebblebrook Hotel Trust,PEB.N,US70509V1008,Real Estate/Equity Real Estate Investment Trusts (REITs)/Hotel & Resort REITs/Hotel & Resort REITs,Hospitality REITs,United States,PEB.N,Real Estate
Seapeak LLC,SEAL_pb.N,MHY8564M2048,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Storage & Transportation",LNG Transportation & Storage,Bermuda,SEAL_pb.N,Energy
C And J Energy Services Ord Shs 144A,CJENZ.PK^H12,US12467B1061,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Oil Related Services,United States,CJENZ.PK^H12,Energy
Union Bank of Nigeria Ord Shs,UBN.LG^K23,NGUBN0000004,Financials/Banks/Banks/Regional Banks,Corporate Banks,Nigeria,UBN.LG^K23,Financials
Global Mediacom Tbk PT,BMTR.JK,ID1000105604,Communication Services/Media & Entertainment/Media/Broadcasting,Television Broadcasting,Indonesia,BMTR.JK,Communication Services
NZME Ltd,NZM.NZ,NZNZME0001S0,Communication Services/Media & Entertainment/Media/Publishing,Consumer Publishing (NEC),New Zealand,NZM.NZ,Communication Services
Vital Farms Inc,VITL.OQ,US92847W1036,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Food Wholesale,United States,VITL.OQ,Consumer Staples
Hostess Brands Ord Shs Class A,TWNK.OQ^K23,US44109J1060,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Bread & Bakery Product Manufacturing,United States,TWNK.OQ^K23,Consumer Staples
Grupo de Moda Soma Ord Shs,SOMA3.SA^H24,BRSOMAACNOR3,"Consumer Discretionary/Consumer Durables & Apparel/Textiles, Apparel & Luxury Goods/Apparel, Accessories & Luxury Goods",Apparel & Accessories Retailers (NEC),Brazil,SOMA3.SA^H24,Consumer Discretionary
MTS Systems Ord Shs,MTSC.OQ^D21,US5537771033,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Equipment & Instruments",Testing & Measuring Equipment,United States,MTSC.OQ^D21,Information Technology
OHA Investment Ord Shs,OHAI.OQ^L19,US67091U1025,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Closed End Funds,United States,OHAI.OQ^L19,Financials
Galaxy Next Generation Ord Shs,GAXYQ.PK^B25,US36320A2033,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Technology Distributors",Display Screens,United States,GAXYQ.PK^B25,Information Technology
Kneat.com Inc,KSI.TO,CA4988241010,Health Care/Health Care Equipment & Services/Health Care Technology/Health Care Technology,Enterprise Software,Ireland,KSI.TO,Health Care
Thule Group AB,THULE.ST,SE0006422390,Consumer Discretionary/Consumer Durables & Apparel/Leisure Products/Leisure Products,Automotive Accessories,Sweden,THULE.ST,Consumer Discretionary
Robit Oyj,ROBIT.HE,FI4000150016,Industrials/Capital Goods/Machinery/Construction Machinery & Heavy Transportation Equipment,Construction Machinery,Finland,ROBIT.HE,Industrials
Loar Holdings Inc,LOAR.N,US53947R1059,Industrials/Capital Goods/Aerospace & Defense/Aerospace & Defense,Aerospace & Defense (NEC),United States,LOAR.N,Industrials
Gentex Corp,GNTX.OQ,US3719011096,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,Automotive Accessories,United States,GNTX.OQ,Consumer Discretionary
Technip Ord Shs,TECF.PA^A17,FR0000131708,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Oil Related Services and Equipment (NEC),France,TECF.PA^A17,Energy
Business Objects Ord Shs,BOBJ.PA^B08,FR0004026250,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),France,BOBJ.PA^B08,Information Technology
