company,RIC,ISIN,GICS_sector,TRBC_sector,country,base_ric,industry
TRW Automotive Holdings Ord Shs,TRW.N^E15,US87264S1069,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,"Auto, Truck & Motorcycle Parts (NEC)",United States,TRW.N^E15,Consumer Discretionary
Inari Medical Ord Shs,NARI.OQ^B25,US45332Y1091,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Equipment,United States,NARI.OQ^B25,Health Care
Astaldi Ord Shs,AST.MI^H21,IT0003261069,Industrials/Capital Goods/Construction & Engineering/Construction & Engineering,Railway Construction,Italy,AST.MI^H21,Industrials
Matrixx Initiatives Ord Shs,MTXX.OQ^B11,US57685L1052,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),United States,MTXX.OQ^B11,Health Care
Quotient Ord Shs,QTNTQ.PK^F23,JE00BNNSZY03,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",In-Vivo Diagnostic & Testing Substances,Jersey,QTNTQ.PK^F23,Health Care
Ke Holdings Inc,2423.HK,KYG5223Y1089,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Services,Real Estate Services (NEC),China (Mainland),2423.HK,Real Estate
Power Finance Corporation Ltd,PWFC.NS,INE134E01011,Financials/Financial Services/Financial Services/Specialized Finance,Corporate Financial Services (NEC),India,PWFC.NS,Financials
Renaissance Global Ltd,RENA.NS,INE722H01024,"Consumer Discretionary/Consumer Durables & Apparel/Textiles, Apparel & Luxury Goods/Apparel, Accessories & Luxury Goods",Jewelry,India,RENA.NS,Consumer Discretionary
MyState Ltd,MYS.AX,AU000000MYS0,Financials/Banks/Banks/Regional Banks,Banks (NEC),Australia,MYS.AX,Financials
Carter's Inc,CRI.N,US1462291097,"Consumer Discretionary/Consumer Durables & Apparel/Textiles, Apparel & Luxury Goods/Apparel, Accessories & Luxury Goods",Children's & Infants' Clothing Retailers,United States,CRI.N,Consumer Discretionary
Qualigen Therapeutics Inc,QLGN.OQ,US74754R3012,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biotechnology & Medical Research (NEC),United States,QLGN.OQ,Health Care
Dresser Rand Group Ord Shs,DRC.N^G15,US2616081038,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Oil Related Equipment,United States,DRC.N^G15,Energy
Tarsus Group Ord Shs,TRS.L^H19,JE00B3DG9318,Communication Services/Media & Entertainment/Media/Advertising,Exhibition & Conference Services,Jersey,TRS.L^H19,Communication Services
Netweb Technologies India Ltd,NETE.NS,INE0NT901020,"Information Technology/Technology Hardware & Equipment/Technology Hardware, Storage & Peripherals/Technology Hardware, Storage & Peripherals",IT Services & Consulting (NEC),India,NETE.NS,Information Technology
STV Group PLC,STVG.L,GB00B3CX3644,Communication Services/Media & Entertainment/Media/Broadcasting,Entertainment Production (NEC),United Kingdom,STVG.L,Communication Services
Instone Real Estate Group SE,INS2.DE,DE000A2NBX80,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Development,Residential Real Estate Rental & Development,Germany,INS2.DE,Real Estate
Grupo Radio Centro SAB de CV,RCENTROA.MX,MXP680051218,Communication Services/Media & Entertainment/Media/Broadcasting,Radio Broadcasting,Mexico,RCENTROA.MX,Communication Services
Evertec Inc,EVTC.N,PR30040P1032,Financials/Financial Services/Financial Services/Transaction & Payment Processing Services,Transaction & Payment Services,Puerto Rico,EVTC.N,Financials
HSN Ord Shs,HSNI.OQ^A18,US4043031099,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Broadline Retail/Broadline Retail,Department Stores (NEC),United States,HSNI.OQ^A18,Consumer Discretionary
Lawson Software Ord Shs,LWSN.OQ^G11,US52078P1021,Information Technology/Software & Services/Software/Application Software,Application Software,United States,LWSN.OQ^G11,Information Technology
HUTCHMED (China) Ltd,0013.HK,KYG4672N1198,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),Hong Kong,0013.HK,Health Care
Galapagos NV,GLPG.AS,BE0003818359,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biotechnology & Medical Research (NEC),Belgium,GLPG.AS,Health Care
Altitude Group PLC,ALT.L,GB00B0LSFV82,Information Technology/Software & Services/Software/Application Software,Enterprise Software,United Kingdom,ALT.L,Information Technology
Kelsian Group Ltd,KLS.AX,AU0000186678,Industrials/Transportation/Ground Transportation/Passenger Ground Transportation,Charter Bus Services,Australia,KLS.AX,Industrials
GB Auto SAE,GBCO.CA,EGS673T1C012,Consumer Discretionary/Automobiles & Components/Automobiles/Automobile Manufacturers,Auto & Truck Manufacturers (NEC),Egypt,GBCO.CA,Consumer Discretionary
Host Hotels & Resorts Inc,HST.OQ,US44107P1049,Real Estate/Equity Real Estate Investment Trusts (REITs)/Hotel & Resort REITs/Hotel & Resort REITs,Hospitality REITs,United States,HST.OQ,Real Estate
Arcos Dorados Holdings Inc,ARCO.N,VGG0457F1071,"Consumer Discretionary/Consumer Services/Hotels, Restaurants & Leisure/Restaurants",Quick Service Restaurants,Uruguay,ARCO.N,Consumer Discretionary
Universal Guardian Holdings Ord Shs,UGHO.PK^D12,US9135861030,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Shell Companies,United States,UGHO.PK^D12,Health Care
Arcimoto Inc,FUVV.PK,US0395872098,Consumer Discretionary/Automobiles & Components/Automobiles/Motorcycle Manufacturers,Electric (Alternative) Vehicles,United States,FUVV.PK,Consumer Discretionary
National Development Bank PLC,NDB.CM,LK0207N00007,Financials/Banks/Banks/Diversified Banks,Corporate Banks,Sri Lanka,NDB.CM,Financials
American Strategic Investment Co,NYC.N,US6494393043,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Operating Companies,Retail Real Estate Services,United States,NYC.N,Real Estate
Air T Inc,AIRT.OQ,US0092071010,Industrials/Transportation/Air Freight & Logistics/Air Freight & Logistics,Courier Services,United States,AIRT.OQ,Industrials
Cryocor Ord Shs,CRYO.OQ^F08,US2290161007,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,CRYO.OQ^F08,Health Care
Nuvectra Ord Shs,NVTRQ.PK^F20,US67075N1081,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,NVTRQ.PK^F20,Health Care
Wolverine Tube Ord Shs,WLVTQ.PK^F11,US9780931021,Materials/Materials/Metals & Mining/Aluminum,Aluminum (NEC),United States,WLVTQ.PK^F11,Materials
4Dmedical Ltd,4DX.AX,AU0000095416,Health Care/Health Care Equipment & Services/Health Care Technology/Health Care Technology,Advanced Medical Equipment & Technology (NEC),Australia,4DX.AX,Health Care
Leatt Corp,LEAT.PK,US5221322085,Consumer Discretionary/Consumer Durables & Apparel/Leisure Products/Leisure Products,Recreational Products (NEC),South Africa,LEAT.PK,Consumer Discretionary
Glg Life Tech Corp,GLGh.V,CA3617932015,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Food Ingredients,Canada,GLGh.V,Consumer Staples
Amdocs Ltd,DOX.OQ,GB0022569080,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),United States,DOX.OQ,Information Technology
Vista Gold Corp,VGZ.A,CA9279263037,Materials/Materials/Metals & Mining/Gold,Gold Mining,United States,VGZ.A,Materials
KORU Medical Systems Inc,KRMD.OQ,US7599101026,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,KRMD.OQ,Health Care
Arrow International Ord Shs,ARRO.OQ^J07,US0427641008,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,ARRO.OQ^J07,Health Care
Suntron Ord Shs,SUNN.OQ^L07,US86789P1003,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,Semiconductors (NEC),United States,SUNN.OQ^L07,Information Technology
Uber Technologies Inc,UBER.N,US90353T1007,Industrials/Transportation/Ground Transportation/Passenger Ground Transportation,Online Services (NEC),United States,UBER.N,Industrials
MAC Copper Ltd,MTAL.N,JE00BQBC8469,Materials/Materials/Metals & Mining/Copper,Copper Ore Mining,Jersey,MTAL.N,Materials
Onity Group Inc,ONIT.N,US6757466064,Financials/Financial Services/Financial Services/Commercial & Residential Mortgage Finance,Retail & Mortgage Banks,United States,ONIT.N,Financials
MoneyHero Ltd,MNY.OQ,KYG6202B1014,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Online Services (NEC),Singapore,MNY.OQ,Communication Services
Momenta Pharmaceuticals Ord Shs,MNTA.OQ^J20,US60877T1007,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,MNTA.OQ^J20,Health Care
Nanosphere Ord Shs,NSPH.OQ^G16,US63009F2048,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,NSPH.OQ^G16,Health Care
Hoganas B Ord Shs,HOGAb.ST^J13,SE0000232175,Materials/Materials/Metals & Mining/Steel,Metallic Rolling & Drawing Products,Sweden,HOGAb.ST^J13,Materials
Aarti Drugs Ltd,ADRG.NS,INE767A01016,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),India,ADRG.NS,Health Care
Dhanuka Agritech Ltd,DHNP.NS,INE435G01025,Materials/Materials/Chemicals/Fertilizers & Agricultural Chemicals,Pesticides,India,DHNP.NS,Materials
Crowdgather Inc,PEHD.PK,US71383R1086,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Online Services (NEC),United States,PEHD.PK,Communication Services
McKesson Corp,MCK.N,US58155Q1031,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Distributors,Pharmaceuticals Wholesale,United States,MCK.N,Health Care
Best Buy Co Inc,BBY.N,US0865161014,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Computer & Electronics Retail,Computer & Electronics Retailers (NEC),United States,BBY.N,Consumer Discretionary
Domtar Ord Shs,UFS.N^K21,US2575592033,Materials/Materials/Paper & Forest Products/Paper Products,Paper Mills & Products,United States,UFS.N^K21,Materials
EPL Oil & Gas Ord Shs,EPL.N^F14,US26883D1081,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil & Gas Exploration and Production (NEC),United States,EPL.N^F14,Energy
Intu Properties REIT Ord Shs,INTUP.L^G20,GB0006834344,Real Estate/Equity Real Estate Investment Trusts (REITs)/Retail REITs/Retail REITs,Retail REITs,United Kingdom,INTUP.L^G20,Real Estate
Matrimony.Com Ltd,MATI.NS,INE866R01028,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Online Services (NEC),India,MATI.NS,Communication Services
Profound Medical Corp,PRN.TO,CA74319B5027,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Advanced Medical Equipment & Technology (NEC),Canada,PRN.TO,Health Care
VNET Group Inc,VNET.OQ,US90138A1034,Information Technology/Software & Services/IT Services/Internet Services & Infrastructure,IT Services & Consulting (NEC),China (Mainland),VNET.OQ,Information Technology
Alignment Healthcare Inc,ALHC.OQ,US01625V1044,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Managed Health Care,Managed Healthcare (NEC),United States,ALHC.OQ,Health Care
Edap Tms SA,EDAP.OQ,US2683111072,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Advanced Medical Equipment & Technology (NEC),France,EDAP.OQ,Health Care
Hemisphere Media Group Ord Shs Class A,HMTV.OQ^I22,US42365Q1031,Communication Services/Media & Entertainment/Media/Cable & Satellite,Cable Service Providers,United States,HMTV.OQ^I22,Communication Services
Natus Medical Ord Shs,NTUS.OQ^G22,US6390501038,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Advanced Medical Equipment & Technology (NEC),United States,NTUS.OQ^G22,Health Care
Freeseas Ord Shs,FREEF.PK^H22,MHY264962439,Industrials/Transportation/Marine Transportation/Marine Transportation,Deep Sea Freight,Greece,FREEF.PK^H22,Industrials
Evonik Industries AG,EVKn.DE,DE000EVNK013,Materials/Materials/Chemicals/Specialty Chemicals,Specialty Chemicals (NEC),Germany,EVKn.DE,Materials
International Isotopes Inc,INIS.PK,US45972C1027,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Life Sciences Tools & Services/Life Sciences Tools & Services",In-Vivo Diagnostic & Testing Substances,United States,INIS.PK,Health Care
Peraso Inc,PRSO.OQ,US71360T2006,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,Semiconductors (NEC),United States,PRSO.OQ,Information Technology
Amec Foster Wheeler Ord Shs,AMFW.L^J17,GB0000282623,Industrials/Commercial & Professional Services/Professional Services/Research & Consulting Services,Management Consulting Services,United Kingdom,AMFW.L^J17,Industrials
G and K Services Ord Shs Class A,GK.OQ^C17,US3612681052,Industrials/Commercial & Professional Services/Professional Services/Research & Consulting Services,Business Support Services (NEC),United States,GK.OQ^C17,Industrials
Tumbleweed Comm Ord Shs,TMWD.OQ^I08,US8996901018,Information Technology/Software & Services/Software/Application Software,Software (NEC),United States,TMWD.OQ^I08,Information Technology
Micronas Semiconductor Hold Ord Shs,MASN.S^J16,CH0012337421,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,Semiconductors (NEC),Switzerland,MASN.S^J16,Information Technology
Gold Road Resources Ltd,GOR.AX,AU000000GOR5,Materials/Materials/Metals & Mining/Gold,Gold Mining,Australia,GOR.AX,Materials
Punjab & Sind Bank,PUNA.NS,INE608A01012,Financials/Banks/Banks/Diversified Banks,Corporate Banks,India,PUNA.NS,Financials
IPD Group Ltd,IPG.AX,AU0000189318,Industrials/Capital Goods/Trading Companies & Distributors/Trading Companies & Distributors,Electric Equipment Wholesale,Australia,IPG.AX,Industrials
Purplebricks Group Ord Shs,PURP.L^F23,GB00BYV2MV74,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Services,Residential Real Estate Services,United Kingdom,PURP.L^F23,Real Estate
Tailored Brands Ord Shs,TLRDQ.PK^L20,US87403A1079,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Apparel Retail,Apparel & Accessories Retailers (NEC),United States,TLRDQ.PK^L20,Consumer Discretionary
Scout24 SE,G24n.DE,DE000A12DM80,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Online Services (NEC),Germany,G24n.DE,Communication Services
Kaveri Seed Company Ltd,KVRI.NS,INE455I01029,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Agricultural Products & Services",Fishing & Farming (NEC),India,KVRI.NS,Consumer Staples
Stanbic IBTC Holdings PLC,IBTC.LG,NGSTANBIC003,Financials/Financial Services/Financial Services/Diversified Financial Services,Banks (NEC),Nigeria,IBTC.LG,Financials
Booz Allen Hamilton Holding Corp,BAH.N,US0995021062,Industrials/Commercial & Professional Services/Professional Services/Research & Consulting Services,IT Services & Consulting (NEC),United States,BAH.N,Industrials
Capstone Holding Corp,CAPS.OQ,US14068E2081,Industrials/Capital Goods/Trading Companies & Distributors/Trading Companies & Distributors,Construction Material Wholesale,United States,CAPS.OQ,Industrials
Nortech Systems Inc,NSYS.OQ,US6565531042,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Manufacturing Services",Semiconductors (NEC),United States,NSYS.OQ,Information Technology
Sterling Financial Ord Shs,STSA.OQ^D14,US8593193035,Financials/Banks/Banks/Diversified Banks,Banks (NEC),United States,STSA.OQ^D14,Financials
BioClinica Ord Shs,BIOC.OQ^C13,US09071B1008,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Advanced Medical Equipment & Technology (NEC),United States,BIOC.OQ^C13,Health Care
Total Energy Services Inc,TOT.TO,CA89154B1022,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Oil Related Services and Equipment (NEC),Canada,TOT.TO,Energy
Simply Inc,SIMPQ.PK,US82901A1051,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Computer & Electronics Retail,Online Services (NEC),United States,SIMPQ.PK,Consumer Discretionary
Agrana Beteiligungs AG,AGRV.VI,AT000AGRANA3,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Fruit & Vegetable Processing,Austria,AGRV.VI,Consumer Staples
Aeva Technologies Inc,AEVA.OQ,US00835Q2021,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Equipment & Instruments",Communications & Networking (NEC),United States,AEVA.OQ,Information Technology
Wyeth Ord Shs,WYE.N^J09,US9830241009,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),United States,WYE.N^J09,Health Care
ATRM Holdings Ord Shs,ATRM.PK^I19,US04964A1034,Materials/Materials/Paper & Forest Products/Forest Products,Wood Products,United States,ATRM.PK^I19,Materials
Quandrant 4 Systems Ord Shs,QFORQ.PK^I18,US74735A1043,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),United States,QFORQ.PK^I18,Information Technology
Bls International Services Ltd,BLSN.NS,INE153T01027,Industrials/Commercial & Professional Services/Professional Services/Data Processing & Outsourced Services,Data Processing Services,India,BLSN.NS,Industrials
BZAM Ltd,BZAMF.PK,CA12464X1015,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Alternative Medicine,Canada,BZAMF.PK,Health Care
Transportadora de Gas del Sur SA,TGSU2m.BA,ARP9308R1039,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Storage & Transportation",Integrated Oil & Gas,Argentina,TGSU2m.BA,Energy
Prudential Financial Inc,PRU.N,US7443201022,Financials/Insurance/Insurance/Life & Health Insurance,Life & Health Insurance (NEC),United States,PRU.N,Financials
BlackLine Inc,BL.OQ,US09239B1098,Information Technology/Software & Services/Software/Application Software,Software (NEC),United States,BL.OQ,Information Technology
Addus Homecare Corp,ADUS.OQ,US0067391062,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Services,Home Healthcare Services,United States,ADUS.OQ,Health Care
IPC Holdings Ord Shs,IPCR.OQ^I09,BMG4933P1014,Financials/Insurance/Insurance/Reinsurance,Reinsurance (NEC),Bermuda,IPCR.OQ^I09,Financials
NTELOS Holdings Ord Shs,NTLS.OQ^E16,US67020Q3056,Communication Services/Telecommunication Services/Wireless Telecommunication Services/Wireless Telecommunication Services,Wireless Telecoms Service Providers,United States,NTLS.OQ^E16,Communication Services
Snipp Interactive Inc,SPN.V,CA83306Y1025,Communication Services/Media & Entertainment/Media/Advertising,Advertising & Marketing (NEC),Canada,SPN.V,Communication Services
Fingerprint Cards AB,FINGb.ST,SE0026141665,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Equipment & Instruments",Biometric Products,Sweden,FINGb.ST,Information Technology
Masterbrand Inc,MBC.N,US57638P1049,Industrials/Capital Goods/Building Products/Building Products,Kitchen Cabinets,United States,MBC.N,Industrials
Pagaya Technologies Ltd,PGY.OQ,IL0011858912,Information Technology/Software & Services/Software/Application Software,Financial Technology (Fintech) (NEC),Israel,PGY.OQ,Information Technology
Perpetual Energy Ord Shs,PMT.TO^K24,CA7142703031,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil & Gas Exploration and Production (NEC),Canada,PMT.TO^K24,Energy
Jounce Therapeutics Ord Shs,JNCE.OQ^E23,US4811161011,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,JNCE.OQ^E23,Health Care
PacificHealth Laboratories Ord Shs,PHLI.PK^B25,US6951131001,Consumer Staples/Household & Personal Products/Personal Care Products/Personal Care Products,Special Foods & Wellbeing Products,United States,PHLI.PK^B25,Consumer Staples
MJardin Group Ord Shs,MJAR.CD^C22,CA60689X1096,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Alternative Medicine,Canada,MJAR.CD^C22,Health Care
Onward Holdings Co Ltd,8016.T,JP3203500008,"Consumer Discretionary/Consumer Durables & Apparel/Textiles, Apparel & Luxury Goods/Apparel, Accessories & Luxury Goods",Apparel & Accessories (NEC),Japan,8016.T,Consumer Discretionary
Madison Square Garden Sports Corp,MSGS.N,US55825T1034,Communication Services/Media & Entertainment/Entertainment/Movies & Entertainment,Professional Sports Venues,United States,MSGS.N,Communication Services
Phinia Inc,PHIN.N,US71880K1016,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,Automotive Accessories,United States,PHIN.N,Consumer Discretionary
Impinj Inc,PI.OQ,US4532041096,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductors,NFC & RFID Systems,United States,PI.OQ,Information Technology
Milestone Apartments Real Estate Investment Units,MST_u.TO^E17,CA59934P1018,Real Estate/Equity Real Estate Investment Trusts (REITs)/Residential REITs/Multi-Family Residential REITs,Residential REITs,United States,MST_u.TO^E17,Real Estate
Virgin Media Ord Shs,VMED.OQ^F13,US92769L1017,Communication Services/Media & Entertainment/Media/Broadcasting,Broadcasting (NEC),United States,VMED.OQ^F13,Communication Services
DISH Network Ord Shs Class A,DISH.OQ^A24,US25470M1099,Communication Services/Media & Entertainment/Media/Cable & Satellite,Television Broadcasting,United States,DISH.OQ^A24,Communication Services
International Coal Group Ord Shs,ICO.F^F11,US45928H1068,"Energy/Energy/Oil, Gas & Consumable Fuels/Coal & Consumable Fuels",Coal (NEC),United States,ICO.F^F11,Energy
JHSF Participacoes SA,JHSF3.SA,BRJHSFACNOR2,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Operating Companies,Residential Real Estate Rental & Development,Brazil,JHSF3.SA,Real Estate
AFC Energy PLC,AFEN.L,GB00B18S7B29,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Stationary Fuel Cells,United Kingdom,AFEN.L,Industrials
Innate Pharma SA,IPH.PA,FR0010331421,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biotechnology & Medical Research (NEC),France,IPH.PA,Health Care
Else Nutrition Holdings Inc,BABY.TO,CA2902571041,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Food Processing (NEC),Israel,BABY.TO,Consumer Staples
Stanmore Resources Ltd,SMR.AX,AU000000SMR4,Materials/Materials/Metals & Mining/Steel,Coal (NEC),Australia,SMR.AX,Materials
Bluenord ASA,BNOR.OL,NO0010379266,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil & Gas Exploration and Production (NEC),Norway,BNOR.OL,Energy
Coursera Inc,COUR.N,US22266M1045,Consumer Discretionary/Consumer Services/Diversified Consumer Services/Education Services,Online Services (NEC),United States,COUR.N,Consumer Discretionary
Covisint Ord Shs,COVS.O^G17,US22357R1032,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),United States,COVS.O^G17,Information Technology
Punjab Chemicals and Crop Protection Ltd,PCHM.NS,INE277B01014,Materials/Materials/Chemicals/Diversified Chemicals,Diversified Chemicals,India,PCHM.NS,Materials
Pandox AB,PANDXb.ST,SE0007100359,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Operating Companies,"Real Estate Rental, Development & Operations (NEC)",Sweden,PANDXb.ST,Real Estate
HubSpot Inc,HUBS.N,US4435731009,Information Technology/Software & Services/Software/Application Software,Enterprise Software,United States,HUBS.N,Information Technology
Interparfums Inc,IPAR.OQ,US4583341098,Consumer Staples/Household & Personal Products/Personal Care Products/Personal Care Products,Cosmetics & Perfumes,United States,IPAR.OQ,Consumer Staples
Vertrue Ord Shs,VTRU.OQ^H07,US92534N1019,Communication Services/Media & Entertainment/Media/Advertising,Advertising & Marketing (NEC),United States,VTRU.OQ^H07,Communication Services
CalAmp Ord Shs,CAMPQ.PK^H24,US1281262089,Information Technology/Technology Hardware & Equipment/Communications Equipment/Communications Equipment,Wireless Telecommunications Services (NEC),United States,CAMPQ.PK^H24,Information Technology
Technopolis Ord Shs,TPS1V.HE^C19,FI0009006886,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Operating Companies,Office Real Estate Rental & Development,Finland,TPS1V.HE^C19,Real Estate
Goodman Group,GMG.AX,AU000000GMG2,Real Estate/Equity Real Estate Investment Trusts (REITs)/Industrial REITs/Industrial REITs,Industrial REITs,Australia,GMG.AX,Real Estate
NDR Auto Components Ltd,NDRA.NS,INE07OG01012,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,"Auto, Truck & Motorcycle Parts (NEC)",India,NDRA.NS,Consumer Discretionary
Mader Group Ltd,MAD.AX,AU0000056269,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Diversified Support Services,Maintenance & Repair Services,Australia,MAD.AX,Industrials
Education Management Corp,EDMCQ.PK,US28140M1036,Consumer Discretionary/Consumer Services/Diversified Consumer Services/Education Services,Miscellaneous Educational Service Providers,United States,EDMCQ.PK,Consumer Discretionary
CPI Card Group Inc,PMTS.OQ,US12634H2004,"Information Technology/Technology Hardware & Equipment/Technology Hardware, Storage & Peripherals/Technology Hardware, Storage & Peripherals",Consumer Credit Cards Services,United States,PMTS.OQ,Information Technology
Precipio Inc,PRPO.OQ,US74019L6020,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Services,Medical Diagnostic & Testing Equipment,United States,PRPO.OQ,Health Care
Paradyne Netwks Common Stock,PDYN.OQ^I05,US69911G1076,Information Technology/Technology Hardware & Equipment/Communications Equipment/Communications Equipment,Communications & Networking (NEC),United States,PDYN.OQ^I05,Information Technology
United Finl Mtg Ordinary Shares,UFMC.OQ^L05,US9103033042,Financials/Financial Services/Consumer Finance/Consumer Finance,Consumer Lending (NEC),United States,UFMC.OQ^L05,Financials
I G Petrochemicals Ltd,IGPT.NS,INE204A01010,Materials/Materials/Chemicals/Commodity Chemicals,Commodity Chemicals (NEC),India,IGPT.NS,Materials
Old Mutual Ltd,OMUJ.J,ZAE000255360,Financials/Insurance/Insurance/Life & Health Insurance,Life & Health Insurance (NEC),South Africa,OMUJ.J,Financials
Vertex Pharmaceuticals Inc,VRTX.OQ,US92532F1003,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Pharmaceuticals (NEC),United States,VRTX.OQ,Health Care
Revolution Medicines Inc,RVMD.OQ,US76155X1000,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biotechnology & Medical Research (NEC),United States,RVMD.OQ,Health Care
WesBanco Inc,WSBC.OQ,US9508101014,Financials/Banks/Banks/Regional Banks,Banks (NEC),United States,WSBC.OQ,Financials
Trade Street Residential REIT Ord Shs,TSRE.OQ^I15,US89255N2036,Real Estate/Equity Real Estate Investment Trusts (REITs)/Residential REITs/Multi-Family Residential REITs,Residential REITs,United States,TSRE.OQ^I15,Real Estate
